version, 1.0
codebook_name, MsImmune
bit_names, Stv_3, Stv_4, Stv_5, Stv_6, Stv_7, Stv_8, Stv_9, Stv_10, Stv_11, Stv_12, Stv_13, Stv_14, Stv_16, Stv_19, Stv_20, Stv_21, Stv_22, Stv_23, Stv_25, Stv_26, Stv_27, Stv_28
name, id, barcode
Mmp25, ENSMUST00000024696.9, 0000000010000010011000
Ms4a1, ENSMUST00000169159.3, 0010000010000000010001
Il17f, ENSMUST00000039046.10, 1000000001001001000000
Il22, ENSMUST00000096691.5, 1110100000000000000000
Tanc2, ENSMUST00000100330.10, 0001001000001000000001
Olfml3, ENSMUST00000029440.10, 0001000000100100010000
Eno3, ENSMUST00000108548.8, 0000100001000000010100
Cxcr2, ENSMUST00000106899.4, 0000001001000010010000
Ctsl, ENSMUST00000222517.2, 1000100000100000001000
Mertk, ENSMUST00000014505.5, 0000100100010000000100
Bcl11a, ENSMUST00000000881.13, 1000100100000100000000
Malt1, ENSMUST00000224056.3, 1000000000000110000001
Txn1, ENSMUST00000030051.6, 0001000000010001000100
Ccl9, ENSMUST00000019266.6, 0000110000001100000000
Lilr4b, ENSMUST00000219053.2, 0000000010001001000001
Cbfa2t3, ENSMUST00000127984.9, 1000010000001010000000
Prdm1, ENSMUST00000039174.11, 0000001000100000010001
Bhlhe40, ENSMUST00000032194.11, 0000000000001010001010
Gpr34, ENSMUST00000041708.10, 0001000100100000100000
Ccr7, ENSMUST00000103134.4, 0110000000010000000001
Ly6c1, ENSMUST00000188845.7, 0000000000000101001010
H2-DMb2, ENSMUST00000236519.2, 0000000100000100110000
Psmb8, ENSMUST00000237106.2, 0100100000000001001000
Svil, ENSMUST00000126977.8, 1000000000000100011000
H2-DMb1, ENSMUST00000114232.4, 1100000000000100000100
Fcgr2b, ENSMUST00000027966.14, 0011000000000000001100
Mxd1, ENSMUST00000001184.10, 0000100000100110000000
Il2rb, ENSMUST00000089398.9, 0000111010000000000000
Il10, ENSMUST00000016673.6, 0010000000100000010010
Xcr1, ENSMUST00000182350.3, 0011000000000110000000
Ccl22, ENSMUST00000034231.4, 0000000101100000000100
Pag1, ENSMUST00000161949.8, 1000000000000000001110
Hspa5, ENSMUST00000028222.13, 0110001000000000000100
Stk10, ENSMUST00000102821.4, 0000000110000000001100
Fcgr4, ENSMUST00000078825.5, 0001010001010000000000
Slpi, ENSMUST00000109367.10, 0011000000000001000001
Ifng, ENSMUST00000068592.5, 0000000000111010000000
Ahr, ENSMUST00000116436.9, 1100000000000000110000
Itgam, ENSMUST00000064821.14, 0001000000000101100000
Cxcl16, ENSMUST00000019064.9, 0001000110001000000000
Cd300c2, ENSMUST00000141188.2, 0010000001001000100000
Ptprc, ENSMUST00000183301.8, 0001000001000010000100
Xcl1, ENSMUST00000027860.8, 0010000001000000001001
Plbd1, ENSMUST00000032336.7, 0000000100000010010001
Anxa5, ENSMUST00000029266.14, 0000000000100100001001
Mrc1, ENSMUST00000028045.4, 0000000100000000010110
Ldha, ENSMUST00000209984.2, 0100010000001000100000
Il1a, ENSMUST00000028882.2, 0001001000010010000000
Fcmr, ENSMUST00000038829.7, 0000000101000000001010
Plekhm3, ENSMUST00000097713.2, 0010000000000100100001
Cd300e, ENSMUST00000062787.9, 0000000001000110001000
Ccr2, ENSMUST00000168841.3, 1000000000010010000100
Ly6i, ENSMUST00000023250.11, 1000000110000000000001
Dennd4a, ENSMUST00000038890.6, 1100001100000000000000
Gm43305, ENSMUST00000199958.2, 1000000100010000001000
Rpl36a, ENSMUST00000149857.3, 1010010100000000000000
Il7r, ENSMUST00000228782.2, 0010010010000001000000
Tmem119, ENSMUST00000067853.6, 0010010000100100000000
Sorl1, ENSMUST00000060989.9, 0000101000000100001000
Klrb1a, ENSMUST00000032512.15, 0110000000000010000010
Nr4a1, ENSMUST00000023779.8, 1010000000000000101000
Rhob, ENSMUST00000067384.6, 0010100000000000001010
Grina, ENSMUST00000023225.8, 1000010000000101000000
Il4, ENSMUST00000000889.7, 0100000100001000010000
Ms4a4a, ENSMUST00000188995.2, 1000010010000000000100
Gda, ENSMUST00000087600.10, 0001000010000001010000
Siglech, ENSMUST00000171077.8, 1001100000000000100000
Ckb, ENSMUST00000222705.2, 0000100000000100010010
Aicda, ENSMUST00000043301.14, 0100000010010001000000
Ms4a6c, ENSMUST00000165310.3, 0000101000101000000000
Ccr9, ENSMUST00000166236.9, 1000001001100000000000
Pgap1, ENSMUST00000097739.5, 1001000010010000000000
Cd19, ENSMUST00000206325.2, 0000010110000000010000
Cd79a, ENSMUST00000003469.8, 0001100010000000000001
Pdcd1, ENSMUST00000027507.9, 0001011000000001000000
Tcf7, ENSMUST00000086844.10, 0000001010001010000000
Ly6a, ENSMUST00000187994.7, 1000000000000010100010
Nkg7, ENSMUST00000070518.4, 1000000101000000010000
P2ry14, ENSMUST00000091112.6, 0000000110000110000000
Itgax, ENSMUST00000033053.8, 0000001001000100000001
Tcrg-C1, ENSMUST00000103558.3, 0000000000000000011101
Cd36, ENSMUST00000170051.8, 0000000101000000100001
Il6, ENSMUST00000199183.5, 0001000001001100000000
Zfhx3, ENSMUST00000220518.2, 0010010001000000010000
F13a1, ENSMUST00000037491.11, 0010100101000000000000
Lilrb4a, ENSMUST00000220402.2, 0000000000000010100101
Gm2a, ENSMUST00000000608.8, 0110000000001100000000
Tcrg-C4, ENSMUST00000179181.3, 0010100000000000000101
Cx3cr1, ENSMUST00000064165.5, 1000011000000000000001
Cd79b, ENSMUST00000044228.11, 0000100000000100100100
Traf1, ENSMUST00000113064.8, 0000100000001000100010
Taldo1, ENSMUST00000211654.2, 1000000000110000000001
Hfe, ENSMUST00000091706.14, 0001000100010000010000
Il23a, ENSMUST00000026449.3, 0010001000000100010000
Cytip, ENSMUST00000028175.7, 0000010000000010001001
Il17a, ENSMUST00000027061.5, 1010000000000000000011
Adgre4, ENSMUST00000025004.7, 0000000100010001000001
Ms4a4c, ENSMUST00000072729.10, 0000000000010100010100
Atox1, ENSMUST00000108857.2, 0000000100100001001000
Neat1, ENSMUST00000173672.3, 0101000000000000010100
Ets1, ENSMUST00000034534.13, 0010001100010000000000
Aprt, ENSMUST00000213029.2, 0001000010000010000010
Rorc, ENSMUST00000197040.5, 0010000000100010001000
Cd3g, ENSMUST00000159019.3, 0100000000010110000000
Prf1, ENSMUST00000219375.2, 1001000100000001000000
Csf1r, ENSMUST00000025523.13, 0000000100001000000101
Mef2c, ENSMUST00000163888.8, 0001010000001000010000
Lag3, ENSMUST00000032217.2, 0100000000000000000111
Il21, ENSMUST00000029273.8, 0000010000100001000001
Tpi1, ENSMUST00000172132.10, 1000000100001000000010
Tmem176b, ENSMUST00000164733.4, 0110000001100000000000
Atp1b1, ENSMUST00000027863.13, 1000000010100000010000
Ace, ENSMUST00000001963.14, 1000000100000000100100
Ear2, ENSMUST00000074839.7, 0011000100000000000010
Ly6g, ENSMUST00000190262.2, 0000110000000001100000
Naca, ENSMUST00000073868.9, 0001000001000001000010
Ptprcap, ENSMUST00000061086.9, 0000001110100000000000
Ly6d, ENSMUST00000040404.8, 0000010100101000000000
Csf3r, ENSMUST00000106162.8, 1000000001000100100000
Ighm, ENSMUST00000177715.8, 0000000010001100010000
Itgae, ENSMUST00000102537.10, 0000100100000000001001
Slc49a4, ENSMUST00000023554.9, 0010000000001011000000
Lrg1, ENSMUST00000041357.9, 0101000101000000000000
Zfand5, ENSMUST00000237651.2, 0000000000001000110001
Selenop, ENSMUST00000159216.10, 0000011101000000000000
Cd28, ENSMUST00000027165.3, 0001000000001001001000
Ciita, ENSMUST00000230450.2, 0000010100010100000000
Gngt2, ENSMUST00000036088.11, 1000100010000010000000
Ralgps2, ENSMUST00000192343.6, 0000001010000000010100
St8sia4, ENSMUST00000043336.11, 0000010000001001000100
Adipor1, ENSMUST00000112237.2, 0100010000000100000010
Xbp1, ENSMUST00000063084.16, 0000000100010010000010
Fcgr1, ENSMUST00000029748.8, 0000000010000000001011
Cd68, ENSMUST00000018918.12, 0001001100000000000100
Mycbp2, ENSMUST00000159855.8, 0000000000000001110100
Igkc, ENSMUST00000103410.3, 0000000000000101000101
Hmgb2, ENSMUST00000067925.8, 0100000000001001000010
Pld4, ENSMUST00000063888.5, 0000000010100000000101
Sept1, ENSMUST00000106314.8, 1000100000001000000100
Adgre1, ENSMUST00000086763.13, 0001000000000000100011
Relb, ENSMUST00000137615.8, 0000010010000100100000
Lst1, ENSMUST00000097336.5, 1000001000000001000100
Plxdc2, ENSMUST00000028081.13, 0001000000010000001001
Cd44, ENSMUST00000005218.15, 0001110100000000000000
Klrb1c, ENSMUST00000167691.9, 0000100010000001000100
Ctsw, ENSMUST00000235502.2, 0000011000000000000110
Tbc1d4, ENSMUST00000161991.8, 0100001000010000010000
Rnf213, ENSMUST00000093902.12, 0000000001110100000000
Ms4a4b, ENSMUST00000035258.10, 0100000001000100010000
Ltb, ENSMUST00000173510.2, 0000010001001000001000
Tcf4, ENSMUST00000114985.10, 0110000110000000000000
Itgal, ENSMUST00000117762.8, 0000011000000110000000
Dst, ENSMUST00000097785.10, 0001100000011000000000
Bank1, ENSMUST00000196159.5, 0001000010000100000100
Cyb561a3, ENSMUST00000237814.2, 0110000000000000011000
Alox5ap, ENSMUST00000071130.5, 1000110001000000000000
Klrd1, ENSMUST00000112063.9, 0100000010100000001000
Lamp1, ENSMUST00000033824.8, 0000010001000000100010
Tmem123, ENSMUST00000154371.2, 0100000000100100100000
Iglc2, ENSMUST00000103749.3, 0010010000001000000001
Tln1, ENSMUST00000030187.14, 0000110000110000000000
Fbxl5, ENSMUST00000196483.5, 0010001000000010000001
Gng10, ENSMUST00000126507.2, 0010110000000010000000
Cd274, ENSMUST00000016640.8, 1001000001000000001000
Srgap2, ENSMUST00000097588.9, 0000100110000000000010
Bach2, ENSMUST00000108180.9, 1000000000000001100001
Cybb, ENSMUST00000015484.10, 0010001000100000100000
Tnf, ENSMUST00000025263.15, 1010000001000010000000
Ctla4, ENSMUST00000027164.9, 1011000000001000000000
Il2, ENSMUST00000029275.6, 0001000000101000000010
Serpinb9, ENSMUST00000063191.14, 0000101001010000000000
Ceacam1, ENSMUST00000098666.9, 0100011000100000000000
Klrk1, ENSMUST00000032252.8, 0000001000100100000100
Strip2, ENSMUST00000151738.4, 1010000000010100000000
Ebf1, ENSMUST00000101326.10, 1000001000000010001000
Runx2, ENSMUST00000113571.10, 0000000001010001010000
Map1lc3b, ENSMUST00000180548.2, 0000010100000001000010
Antxr2, ENSMUST00000031281.14, 0010100000001000010000
S100a10, ENSMUST00000148400.2, 0000010000000100010001
Stat4, ENSMUST00000027277.7, 0111010000000000000000
Rpl12, ENSMUST00000134912.7, 0010010000000000100100
Nav3, ENSMUST00000239301.2, 1001000000100000000100
Batf3, ENSMUST00000193771.6, 0000011000011000000000
Gzmb, ENSMUST00000015581.6, 0000100000100001000010
Lyve1, ENSMUST00000033050.5, 0000011000000000110000
Gm9733, ENSMUST00000108361.2, 1100000000011000000000
Fchsd2, ENSMUST00000098250.10, 0101100000000100000000
Macf1, ENSMUST00000106224.9, 0000100000001010000001
Atp2b1, ENSMUST00000020107.8, 0000100000010100000001
Il13, ENSMUST00000020650.2, 1000000001000000000101
Ctsz, ENSMUST00000016400.9, 1100000000100000000010
Klre1, ENSMUST00000203865.2, 0000010010001000000010
Nos2, ENSMUST00000018610.7, 0100000100000001000100
Itga2, ENSMUST00000056117.10, 0001001000000000010010
Trac, ENSMUST00000198398.5, 0100000000100010010000
Alox15, ENSMUST00000019068.7, 0000001100000011000000
Cd80, ENSMUST00000231716.2, 0100000000000000101001
H2afy, ENSMUST00000020283.5, 0000000001000001001100
Zbtb46, ENSMUST00000029106.13, 0010100010100000000000
Sytl3, ENSMUST00000231743.2, 0100100000100000000100
Pnp, ENSMUST00000048615.13, 0000100000010010001000
