version, 1.0
codebook_name, MF2-4T1-Primary
bit_names, Stv_29, Stv_30, Stv_31, Stv_32, Stv_33, Stv_35, Stv_36, Stv_37, Stv_39, Stv_40, Stv_42, Stv_44, Stv_45, Stv_46, Stv_48, Stv_50, Stv_53, Stv_54, Stv_59, Stv_60, Stv_61, Stv_63, Stv_64, Stv_65, Stv_86, Stv_87, Stv_88, Stv_90
name, id, barcode
Trdc, ENSMUST00000196323.2, 0000000000000000000101100001
Ighd, ENSMUST00000194162.6, 1000000000111000000000000000
Ighm, ENSMUST00000177715.8, 0011000000000100000000001000
Gramd3, ENSMUST00000237355.2, 0100000000001000000000100001
Aldh7a1, ENSMUST00000066208.13, 0010000001000001010000000000
B4galt6, ENSMUST00000070080.6, 0010000000100001100000000000
Klhl14, ENSMUST00000122333.2, 0000000100000000001100100000
Chsy3, ENSMUST00000238155.2, 0000000010100101000000000000
Fstl1, ENSMUST00000114763.3, 0000001001010000010000000000
Apba1, ENSMUST00000025830.9, 0001000011000000000000100000
Cd74, ENSMUST00000097563.9, 1100000000000001000000001000
Tmem252, ENSMUST00000057243.6, 0000000000000000000010011001
Lsamp, ENSMUST00000187695.7, 0100000000100000001000001000
Tfap2a, ENSMUST00000110193.9, 1010000001010000000000000000
Pdgfrb, ENSMUST00000025522.11, 0100000000000000010010000001
Gcnt2, ENSMUST00000067778.8, 0000001010000010000000000100
Egln3, ENSMUST00000039516.4, 1100000000000000001100000000
Cd248, ENSMUST00000070630.8, 0100000000010001100000000000
Prkaa1, ENSMUST00000228218.2, 0010000000001010010000000000
Vcam1, ENSMUST00000029574.13, 0000000000000100011001000000
Gpr88, ENSMUST00000090473.7, 0100100000000000000100100000
Afap1l1, ENSMUST00000120472.2, 1010000000000000010000001000
Il12rb2, ENSMUST00000117441.8, 0000000000000100101100000000
Ckap4, ENSMUST00000053871.5, 0001000000001000000001000001
Fosl1, ENSMUST00000025850.7, 0000000000000110000110000000
Ablim3, ENSMUST00000166783.3, 0000000000000010101010000000
Itga5, ENSMUST00000023128.8, 1000100001000100000000000000
Col6a5, ENSMUST00000190193.8, 0000000000110000010000000001
Septin3, ENSMUST00000239048.2, 0000000000001000010001000010
Zbtb16, ENSMUST00000093852.5, 0001100000000000000001100000
Ctsw, ENSMUST00000235502.2, 0000100001000000000010000001
Fyb2, ENSMUST00000106804.2, 0100000000001000110000000000
Cpm, ENSMUST00000020399.6, 0000000000000000000011000101
Sidt1, ENSMUST00000136381.8, 0000000110000000110000000000
Trem1, ENSMUST00000113251.10, 0000000000000000000000101101
Acod1, ENSMUST00000022722.7, 0011101000000000000000000000
Dab2, ENSMUST00000080880.12, 0000000000000100010000100010
Treml4, ENSMUST00000059873.14, 0000000110010000000000100000
Epcam, ENSMUST00000053577.9, 0000001001000110000000000000
Trem2, ENSMUST00000132340.2, 0000000100001000000010000001
Atp8a2, ENSMUST00000080368.13, 0000000000000010100000010100
Msh2, ENSMUST00000024967.14, 0000000000001001000100010000
Camk4, ENSMUST00000234654.2, 1000000000000010000001000001
Msh6, ENSMUST00000005503.5, 0000011000000000010000000100
Themis, ENSMUST00000056097.11, 0000100000000100000000010010
Btbd11, ENSMUST00000105307.8, 0000001000100100010000000000
Zfp366, ENSMUST00000056558.11, 0000010010000010010000000000
Ncam1, ENSMUST00000193547.6, 0000110000001000000000000100
Lck, ENSMUST00000167288.8, 0000100000000100001010000000
Nup85, ENSMUST00000021085.11, 0000010000011000010000000000
Ddx28, ENSMUST00000058579.7, 0000000010000011100000000000
Dlat, ENSMUST00000034567.4, 0001000100001000100000000000
Ablim1, ENSMUST00000079360.12, 0010100000000001000001000000
Gata2, ENSMUST00000015197.9, 0000010100000010100000000000
Btla, ENSMUST00000102802.10, 0000000000010010000010010000
Inpp4b, ENSMUST00000215332.2, 0000010000000000000011000010
Myc, ENSMUST00000161976.8, 0000000000000011000000011000
C3ar1, ENSMUST00000042081.9, 0000000000010000100000100010
Irx2, ENSMUST00000074372.6, 0000000000000001101001000000
Fech, ENSMUST00000236586.3, 1000000000000000100000000011
Ifng, ENSMUST00000068592.5, 0010100000001000000000001000
Gcsam, ENSMUST00000161347.9, 1001000000010000000100000000
Cdh1, ENSMUST00000000312.12, 0000100000000000000100001010
Epha4, ENSMUST00000027451.13, 0000000000001001001000000100
Stab2, ENSMUST00000035288.17, 1000001000000000001000001000
Satb1, ENSMUST00000169480.8, 0010000000001101000000000000
Spry2, ENSMUST00000022709.6, 0000000000000010100000001010
Mrpl37, ENSMUST00000030365.6, 0100101010000000000000000000
Plcxd2, ENSMUST00000130481.2, 0000110000010000000100000000
Tgfb3, ENSMUST00000003687.8, 0001100000000010000000000100
Cd96, ENSMUST00000023336.10, 1100100100000000000000000000
Mtor, ENSMUST00000103221.10, 1000000000000000000010001010
Fam124a, ENSMUST00000039064.8, 0000101001000000000000010000
Mcat, ENSMUST00000061882.10, 0000000100000101000000000100
Nup155, ENSMUST00000163765.3, 1000000010000001000010000000
Cd8b1, ENSMUST00000065248.9, 0000000000000001010100100000
Clec4e, ENSMUST00000176443.8, 0000100001100000100000000000
Trat1, ENSMUST00000231701.3, 1000000000010000000000100001
Wnt5a, ENSMUST00000063465.12, 0001010000000100000000000100
Retnlg, ENSMUST00000065666.6, 0000010000000001110000000000
Fzd1, ENSMUST00000054294.7, 0000000000010000101000010000
Cd8a, ENSMUST00000066747.14, 0100000100010000000000001000
Ndn, ENSMUST00000038775.6, 0000001100000000000000001100
Adgre4, ENSMUST00000025004.7, 0000001000000000000110000100
Clec14a, ENSMUST00000062254.4, 0010010000000000010001000000
Cpsf3, ENSMUST00000067284.10, 0000000010000110000000000010
Cd19, ENSMUST00000206325.2, 0010000100010000100000000000
Gata4, ENSMUST00000118022.8, 0000000001000100000000011000
Blk, ENSMUST00000014597.5, 0010100000000000000010100000
Dach2, ENSMUST00000113382.8, 1000001000001000000000000100
Siglecg, ENSMUST00000124502.8, 0000001000000000010001000001
Il7r, ENSMUST00000228782.2, 0000011000000000100000000010
Il17rb, ENSMUST00000122205.9, 0000000110100000000001000000
Atp2a1, ENSMUST00000032974.13, 0010000000000011000010000000
Ptpn13, ENSMUST00000048957.11, 0000110000000000000000110000
Axl, ENSMUST00000085948.11, 0000001100100000000010000000
Sh2d1a, ENSMUST00000129855.8, 1000000010000010000100000000
Slc18a2, ENSMUST00000026084.5, 0000001001000000000100000001
Pou2af1, ENSMUST00000034554.9, 0010100110000000000000000000
Mcm2, ENSMUST00000058011.8, 0000100000001010100000000000
F7, ENSMUST00000033820.4, 0100001000000000010000100000
St8sia1, ENSMUST00000032421.4, 0000000001001000001001000000
Col5a2, ENSMUST00000086430.5, 0000010100000000010000001000
Fzd3, ENSMUST00000131309.3, 0000001000000010000010000001
Atm, ENSMUST00000232179.2, 0000100000100000000001000001
Fbln1, ENSMUST00000057410.14, 0110000000000001000000000100
Sardh, ENSMUST00000102886.10, 0000000100000100000000001001
Tox, ENSMUST00000039987.4, 0000001000110000100000000000
Ctu1, ENSMUST00000038332.9, 0101000001000000000010000000
Wnt7b, ENSMUST00000109424.4, 0010010001000000000000000100
Lamc2, ENSMUST00000027753.13, 0001000000000000001110000000
Pdgfc, ENSMUST00000129285.8, 0000000000010000010001010000
H2-Ob, ENSMUST00000095342.11, 0001001000000000010000000010
Npl, ENSMUST00000041874.9, 0011000001000000000100000000
Chek1, ENSMUST00000034625.12, 0000100000000010010000100000
Slc39a10, ENSMUST00000027131.6, 0110000000110000000000000000
Dmp1, ENSMUST00000066708.7, 1000000000100010010000000000
Cblb, ENSMUST00000226593.2, 0010001001000000000000000010
Steap4, ENSMUST00000115421.3, 0110000000001000001000000000
Ibsp, ENSMUST00000031246.9, 0000001100000001100000000000
Txk, ENSMUST00000113604.10, 1010010100000000000000000000
Htr1b, ENSMUST00000183482.2, 0000010100000001000000000010
Cacna1d, ENSMUST00000112250.6, 0000010000100000000000000101
Tinagl1, ENSMUST00000105999.9, 0000000000011000000000101000
Ccdc85a, ENSMUST00000093253.10, 1000010000000000001000010000
Rai14, ENSMUST00000090339.11, 0000000011000000100000000010
Rgs16, ENSMUST00000027748.8, 1000010000000000100010000000
Hmga2, ENSMUST00000072777.14, 1100000000000000010000010000
Notch4, ENSMUST00000015612.14, 0001000000000001000000000011
Acta2, ENSMUST00000039631.10, 0001000000000000000010010010
St6galnac3, ENSMUST00000200397.5, 0100000000010110000000000000
Ccbe1, ENSMUST00000130300.3, 1000010000100000000000000010
Erbb2, ENSMUST00000058295.6, 0000010000000010000000100010
Npr3, ENSMUST00000066529.5, 0011000000000001000000100000
Cdh4, ENSMUST00000000314.13, 0000010001010000100000000000
Pde5a, ENSMUST00000200389.2, 0000001010000001010000000000
Irs1, ENSMUST00000069799.3, 0010000000010000000100000010
Ttk, ENSMUST00000070326.14, 1000000100001000000000001000
Prex2, ENSMUST00000027056.12, 1001000000000000001001000000
Ankrd1, ENSMUST00000237142.2, 0100000001011000000000000000
Nlrp3, ENSMUST00000101148.9, 0010000100000100000000000010
Scn3a, ENSMUST00000100069.9, 0000010100010000001000000000
Ppm1h, ENSMUST00000067918.12, 1000000000000000000111000000
Cacna1e, ENSMUST00000187541.7, 0010001000000000100100000000
Arnt2, ENSMUST00000208232.2, 0010000101000000000000010000
Psmd3, ENSMUST00000149489.8, 0000001010000000100000010000
Mboat1, ENSMUST00000047311.16, 0000101000001000000010000000
Klhdc1, ENSMUST00000063445.13, 1000010000001000000001000000
Hdac3, ENSMUST00000143660.8, 0000001000000000100000100001
Ccn4, ENSMUST00000005255.9, 0010000100001000000001000000
Tdrp, ENSMUST00000062613.12, 0000000000000001100000010010
Dcp1a, ENSMUST00000022535.9, 1100000000000000100000100000
Irf4, ENSMUST00000021784.10, 0100000000000010000000000101
Ess2, ENSMUST00000232423.2, 1001000001001000000000000000
Sox5, ENSMUST00000038815.14, 1000100000000010000000001000
Abi3bp, ENSMUST00000231781.2, 0000000000101100000000000001
Eno2, ENSMUST00000004378.15, 0000000001000010000100000010
Sdc3, ENSMUST00000070478.4, 0100000000000100000001000001
Col5a1, ENSMUST00000028280.14, 0000010000010001000000010000
Cdh10, ENSMUST00000166873.9, 0000000000001100001000000010
Pcdh12, ENSMUST00000025311.8, 0000000011000000000000000101
Lrp5, ENSMUST00000025856.17, 0000001100010000000100000000
Plxnb2, ENSMUST00000109331.9, 0000000000101000001010000000
Fcnb, ENSMUST00000028179.15, 0101000000000010000000001000
Foxc1, ENSMUST00000062292.5, 0110000000000000010000000010
Khdrbs3, ENSMUST00000229234.2, 0000000000100010100000000001
Cdca3, ENSMUST00000134637.8, 1000000100000010000010000000
Spata7, ENSMUST00000048402.12, 0100000010000010001000000000
Robo4, ENSMUST00000156972.3, 0000000110000010000000001000
Tgfbr3, ENSMUST00000031224.15, 0000000000000001100110000000
Serpinb9b, ENSMUST00000006392.3, 0000001000000001000000001001
Vegfc, ENSMUST00000033919.6, 0000010000000000000000001110
Cd4, ENSMUST00000024044.7, 0000001001100000000000001000
Hpx, ENSMUST00000033185.10, 0000000000010000100010000100
Fbxl7, ENSMUST00000059204.11, 0000000000010100000010100000
Lag3, ENSMUST00000032217.2, 0001000000000000000100000110
Myof, ENSMUST00000041475.16, 0000000010000000000000011100
Tsc2, ENSMUST00000226284.2, 0000000000001000100000110000
Mettl1, ENSMUST00000006915.14, 0000000000000000110000000110
Cep55, ENSMUST00000169673.3, 1000100000010000000010000000
Sema6a, ENSMUST00000019791.14, 0100001000000000100010000000
Esam, ENSMUST00000002011.14, 0001100000001100000000000000
Pcsk1, ENSMUST00000022075.6, 0000000000110000000000110000
Cyp3a11, ENSMUST00000199857.2, 0010000000010000000010000001
Noc3l, ENSMUST00000025963.8, 0000000000100000101000100000
Foxp3, ENSMUST00000115739.9, 0100000000000000001000010010
Top2a, ENSMUST00000068031.8, 1000000010001000000000100000
Zfyve9, ENSMUST00000106657.8, 0101000000010000001000000000
Lox, ENSMUST00000025409.9, 0000000010110000000000000010
Tnfsf8, ENSMUST00000030047.3, 0000011000100000000001000000
Itih3, ENSMUST00000006697.17, 0101000000101000000000000000
Spib, ENSMUST00000035323.6, 0000000000000101100000000001
Tcf7l1, ENSMUST00000114053.9, 0000000000011000000000010010
Ccr7, ENSMUST00000103134.4, 0000000000011000001100000000
Kcnk13, ENSMUST00000177549.8, 0000100000000000001001000010
Ptger3, ENSMUST00000041175.13, 0010000011000000000000001000
Tnc, ENSMUST00000107377.10, 0001000000001000001000010000
Trim47, ENSMUST00000106441.8, 0000000000000000000110000011
Ctnnd2, ENSMUST00000081728.7, 0101000000000000010000000100
Prdm1, ENSMUST00000039174.11, 1000010000010000000000000100
Hpd, ENSMUST00000031398.14, 0010000000000000001101000000
Shank3, ENSMUST00000109309.9, 0010000000010000000001000100
Efna5, ENSMUST00000076840.12, 1100001000000000000000000001
Scn7a, ENSMUST00000042792.7, 0010001000010001000000000000
Tsc1, ENSMUST00000113869.8, 0000000000000100010100001000
Pdha1, ENSMUST00000033662.9, 0000000110000001000000010000
Grik2, ENSMUST00000218823.2, 0001010000000000010010000000
Yap1, ENSMUST00000065353.13, 0010000010000010000001000000
