version, 1.0
codebook_name, MF2-4T1-Primary
bit_names, Stv_29, Stv_30, Stv_31, Stv_32, Stv_33, Stv_35, Stv_36, Stv_37, Stv_39, Stv_40, Stv_42, Stv_44, Stv_45, Stv_46, Stv_48, Stv_50
name, id, barcode
Trdc, ENSMUST00000196323.2, 1100000011000000
Ighd, ENSMUST00000194162.6, 0000100110010000
Klhl14, ENSMUST00000122333.2, 1111000000000000
Tmem252, ENSMUST00000057243.6, 1010000010100000
Dab2, ENSMUST00000080880.12, 0010001010001000
Camk4, ENSMUST00000042868.6, 0000101010100000
Themis, ENSMUST00000056097.11, 0100010000100010
Cd200r3, ENSMUST00000114611.10, 1001000000001001
Gata2, ENSMUST00000015197.9, 0010000100100001
Ifng, ENSMUST00000068592.5, 0001000100100010
Cd96, ENSMUST00000023336.10, 1100000000110000
Cd8b1, ENSMUST00000065248.9, 0000000000111100
Retnlg, ENSMUST00000065666.6, 0010010001000010
Cd8a, ENSMUST00000066747.14, 0001100010000001
Clec14a, ENSMUST00000062254.4, 0101010100000000
Pou2af1, ENSMUST00000034554.9, 0000110000000011
Col5a2, ENSMUST00000086430.5, 0001100001000010
Wnt7b, ENSMUST00000109424.4, 0000000001101001
Ibsp, ENSMUST00000031246.9, 0010000110000100
Htr1b, ENSMUST00000183482.2, 0001001000100001
Prex2, ENSMUST00000027056.12, 0000010100001010
Ankrd1, ENSMUST00000237142.2, 0101000000001010
Robo4, ENSMUST00000214185.3, 0000000000110011
Cd4, ENSMUST00000024044.7, 1000100010001000
Foxp3, ENSMUST00000115739.9, 0000000010010110
Prdm1, ENSMUST00000039174.11, 1000000101000010
Hpd, ENSMUST00000031398.14, 1100001100000000
Shank3, ENSMUST00000109309.9, 0100100001001000
Gpihbp1, ENSMUST00000023243.11, 0101000010100000
Flt3, ENSMUST00000049324.13, 0010010010000001
Cyp11a1, ENSMUST00000034874.14, 0000110011000000
Gpr39, ENSMUST00000027581.7, 1100000000000011
Prss34, ENSMUST00000037453.4, 0010100010000010
Stxbp6, ENSMUST00000053768.14, 1000000100100100
Nes, ENSMUST00000090973.12, 1000010000010010
Ms4a4b, ENSMUST00000035258.10, 0110011000000000
Ms4a2, ENSMUST00000186978.7, 0010001000100010
Cyp4b1, ENSMUST00000102707.10, 0001000100010001
Gzma, ENSMUST00000224282.2, 0100100000010010
Bcl11b, ENSMUST00000066060.11, 0001001001001000
Vcan, ENSMUST00000109546.9, 0000111100000000
Ebf1, ENSMUST00000101326.10, 0000000011000011
Itk, ENSMUST00000020664.13, 0100010010001000
Arhgef37, ENSMUST00000171629.3, 0000100100000110
Havcr2, ENSMUST00000020668.15, 0000110000110000
Klrk1, ENSMUST00000032252.8, 0000000000001111
Krt79, ENSMUST00000023799.8, 1010000001010000
Ptprb, ENSMUST00000218553.2, 0000011001100000
Tspan7, ENSMUST00000115526.2, 1010101000000000
Sdc1, ENSMUST00000020911.14, 0010100000010100
Pacsin1, ENSMUST00000232437.2, 0001100000100100
Galnt18, ENSMUST00000049430.15, 1010000000001010
Mrc1, ENSMUST00000028045.4, 0100000101000001
Slc8a1, ENSMUST00000163123.3, 1100000000001100
Pld4, ENSMUST00000063888.5, 0010100000101000
Cd3g, ENSMUST00000002101.12, 0010001000010001
Fasl, ENSMUST00000000834.4, 0011001100000000
Itgax, ENSMUST00000033053.8, 1000100000100010
Mat1a, ENSMUST00000225720.2, 0000100100001001
Grm6, ENSMUST00000171427.8, 0100000100010100
C1qb, ENSMUST00000046384.9, 0000001100000011
C1qc, ENSMUST00000046332.6, 1000010000100001
C1qa, ENSMUST00000046285.6, 0010010000011000
Batf3, ENSMUST00000027943.6, 0001010001000001
Cpa3, ENSMUST00000001921.3, 0000000001011010
Cxcl14, ENSMUST00000021970.11, 0101000001010000
Ncr1, ENSMUST00000126417.3, 1000010001001000
Cyp2j5, ENSMUST00000030299.8, 0001010000101000
Enpp1, ENSMUST00000105520.8, 0010010000100100
Ptpro, ENSMUST00000077115.13, 0001010010000010
Ms4a1, ENSMUST00000169159.3, 1000000100011000
Ms4a7, ENSMUST00000025574.11, 0001001010000100
Tmprss11e, ENSMUST00000161306.2, 1001011000000000
Cldn5, ENSMUST00000043577.3, 0001010000010100
Zbtb7b, ENSMUST00000029677.9, 0110000001100000
Slc7a2, ENSMUST00000057784.15, 0000101001010000
Apoa5, ENSMUST00000121598.8, 0000010110100000
Cd28, ENSMUST00000027165.3, 0010100001000001
Gzmb, ENSMUST00000015581.6, 1010010100000000
Tppp3, ENSMUST00000177126.8, 1001000001100000
Fgfbp1, ENSMUST00000199894.2, 0010000101001000
Gjb1, ENSMUST00000052130.14, 0011000011000000
Cr2, ENSMUST00000082321.9, 0011110000000000
Col6a6, ENSMUST00000098441.10, 1000010010000100
Rassf4, ENSMUST00000035842.7, 0100001000011000
Ldb2, ENSMUST00000199534.5, 0000000011001100
Cd247, ENSMUST00000187313.7, 1000000110000001
Ftcd, ENSMUST00000001183.8, 0110000000000110
Fcer2a, ENSMUST00000005678.6, 1000001001000001
Cd79a, ENSMUST00000003469.8, 0000000001100110
Cxcl3, ENSMUST00000031326.10, 0100100010000100
Ccr4, ENSMUST00000054414.5, 0100010001000100
Eomes, ENSMUST00000111763.8, 0001001000010010
Hoxa10, ENSMUST00000125581.2, 0000010101010000
Sox17, ENSMUST00000192650.6, 0000101000000101
Asprv1, ENSMUST00000043400.9, 1001100100000000
