version, 1.0
codebook_name, MF5_EAE
bit_names, b1-RS0015, b2-RS0083, b3-RS0095, b4-RS0109, b5-RS0175, b6-RS0237, b7-RS0247, b10-RS0332, b11-RS0343, b12-RS0384, b13-RS0406, b14-RS0451, b15-RS0468, b16-RS0548, b17-RS0578, b18-RS0584, b20-RS0707, b22-RS0730, b23-RS0763, b24-RS0793, b26-RS0820, b27-RS0896
name, id, barcode
Kcnk9, ENSMUST00000044624.8, 0100010001000001000000
Lamp5, ENSMUST00000057503.7, 0010000000001011000000
Slc6a5, ENSMUST00000056442.12, 0010000010000100001000
Ranbp3l, ENSMUST00000227191.3, 1010000000000000000011
Fmo1, ENSMUST00000046049.14, 0100001000000101000000
Cgnl1, ENSMUST00000072899.9, 1010000000000000101000
Sntb1, ENSMUST00000039769.13, 0010000001000000001001
Six3, ENSMUST00000176081.3, 0000000101001010000000
Asb2, ENSMUST00000021617.14, 0010010000100100000000
Pla2g7, ENSMUST00000024706.12, 0000101000000100001000
Nfam1, ENSMUST00000231165.2, 0000000100100100000010
Fstl5, ENSMUST00000038364.15, 0000000001010010100000
Atp10a, ENSMUST00000168747.3, 0010000001001000100000
Gad2, ENSMUST00000028123.4, 0001000000010001000100
Zfhx4, ENSMUST00000026284.13, 0100000010010001000000
Syt6, ENSMUST00000090697.11, 0111010000000000000000
Ecel1, ENSMUST00000161002.8, 0000100000100000100001
Fbln1, ENSMUST00000057410.14, 0000000000000110000110
Ucp2, ENSMUST00000126534.8, 0100000010000100000001
Cfap206, ENSMUST00000029971.12, 0110001000000000000100
Cd24a, ENSMUST00000058714.10, 0100000000100010010000
Ctsc, ENSMUST00000131108.9, 0000000100010010000010
Slc17a7, ENSMUST00000085374.7, 0010100000000000001010
Hdc, ENSMUST00000028838.5, 0000010010010000001000
Lmx1b, ENSMUST00000041730.12, 0000000000011000011000
Adgrv1, ENSMUST00000095585.11, 1000100000010001000000
Sox11, ENSMUST00000079063.7, 0010010000000000100100
Glra1, ENSMUST00000102716.10, 0000110000110000000000
Zic1, ENSMUST00000034927.13, 0100110000000000010000
Fgf1, ENSMUST00000040647.11, 0000000001001000010010
Adgrf5, ENSMUST00000113599.2, 0100000000000000101001
Pax2, ENSMUST00000174490.9, 0100000010100000001000
Mfge8, ENSMUST00000032825.14, 1100000000000100000100
Cldn11, ENSMUST00000046174.8, 0001010000000000000101
Dlx2, ENSMUST00000024159.8, 0000000000000011000011
Clic6, ENSMUST00000023670.4, 1000000100000000100100
Ano1, ENSMUST00000238848.2, 0000010000010011000000
Ppp1r1b, ENSMUST00000078694.13, 0001010000000010100000
Nkx2-1, ENSMUST00000001536.9, 1000110001000000000000
Mylk, ENSMUST00000023538.9, 0000001001000010010000
Fam107a, ENSMUST00000121887.8, 0010000001000100000010
Cacng5, ENSMUST00000039071.3, 0000100010010000010000
Syndig1l, ENSMUST00000095550.4, 1000100100000100000000
Megf11, ENSMUST00000068967.11, 0100000000001001000010
Ptk2b, ENSMUST00000022622.14, 0000000100010001000001
S1pr1, ENSMUST00000055676.4, 0000001000000001001001
Trh, ENSMUST00000006046.5, 0000111010000000000000
Chat, ENSMUST00000070125.6, 1100001100000000000000
Frzb, ENSMUST00000028389.4, 0000000000000101000101
Mafb, ENSMUST00000099126.5, 0000011000011000000000
Col23a1, ENSMUST00000102765.9, 0000000010100101000000
Th, ENSMUST00000105929.11, 0110000001100000000000
Coro6, ENSMUST00000102493.8, 0100000001000010000001
Wls, ENSMUST00000068952.10, 0100000100000100001000
Ntrk3, ENSMUST00000039431.14, 0000100000100001000010
Gja1, ENSMUST00000220069.2, 0000000011101000000000
Sox10, ENSMUST00000230532.2, 0010000000100000010010
Ermn, ENSMUST00000090940.6, 0000000010010010000001
Tox2, ENSMUST00000109428.9, 0000001100000011000000
Sv2b, ENSMUST00000165175.8, 0100000001000000100100
Sv2c, ENSMUST00000161263.8, 0000000010001001000001
Lpar1, ENSMUST00000107571.8, 0000001100000000000011
Lsp1, ENSMUST00000149521.8, 0010100000010000100000
Prph, ENSMUST00000047104.15, 0100010000010000000100
Gda, ENSMUST00000087600.10, 0010000000010010010000
Slco1c1, ENSMUST00000032362.12, 0000001110100000000000
Acsbg1, ENSMUST00000034822.12, 0000010000010000100001
Mog, ENSMUST00000102665.11, 1010000000010100000000
Slit2, ENSMUST00000173107.8, 0001001001000000100000
Igfbpl1, ENSMUST00000044297.7, 0101000000100001000000
Tgfbr2, ENSMUST00000061101.12, 0001000010000100000100
Syt2, ENSMUST00000121990.2, 1000000001000100100000
Fgd5, ENSMUST00000089334.9, 1101000000000000000001
C1ql1, ENSMUST00000057849.6, 0000001000001001100000
Nefh, ENSMUST00000093369.5, 0001001000100000001000
Sp9, ENSMUST00000090813.6, 0100001000010000010000
Syt10, ENSMUST00000029441.4, 1010010100000000000000
Gfra1, ENSMUST00000026076.14, 0000001000100000010001
Sec14l5, ENSMUST00000230616.2, 0100010010000010000000
Aldh1l1, ENSMUST00000130418.8, 0000000000000010100101
Adcy8, ENSMUST00000023007.7, 0000000000010100101000
Sall1, ENSMUST00000034090.8, 0000100001000000101000
Pde3a, ENSMUST00000043259.10, 0000000001100001100000
Ntsr2, ENSMUST00000111064.3, 0010000100000010100000
Ets1, ENSMUST00000034534.13, 0100010100000000000001
Igfbp4, ENSMUST00000017637.13, 0000001000100010000010
Tnfaip6, ENSMUST00000065927.6, 0100000000010110000000
Kl, ENSMUST00000078856.8, 0100100000010000000010
Egflam, ENSMUST00000058593.10, 0110000000000001100000
Slc32a1, ENSMUST00000045738.5, 0001001000000000010010
A2m, ENSMUST00000032203.9, 0000001010000001000010
Sncg, ENSMUST00000023826.5, 1000000001000000000101
Aqp1, ENSMUST00000004774.4, 0001010010100000000000
Bsx, ENSMUST00000067375.5, 0100010000001000100000
Gpr37l1, ENSMUST00000027682.9, 0101000000001010000000
Prkcd, ENSMUST00000112211.9, 0000010100000010000100
Slc7a10, ENSMUST00000001854.12, 0000100100100000010000
Sox9, ENSMUST00000000579.3, 0001000001001100000000
Aqp4, ENSMUST00000079081.8, 0000010000000010010010
Vwa5b1, ENSMUST00000030533.12, 0011000011000000000000
Isyna1, ENSMUST00000210005.2, 0000000101000000001010
Cldn5, ENSMUST00000043577.3, 1000010000010000010000
Gpr50, ENSMUST00000070449.6, 0010100000000000000101
Nbl1, ENSMUST00000042844.7, 0010000010011000000000
Nr2f2, ENSMUST00000032768.15, 1110100000000000000000
Anxa2, ENSMUST00000034756.15, 1000010000001010000000
Fli1, ENSMUST00000016231.14, 0100010000000100000010
Cobll1, ENSMUST00000112429.9, 0110000000001100000000
Pcp4l1, ENSMUST00000111332.2, 0000101000101000000000
Cd34, ENSMUST00000110815.9, 0000000101100000000100
Isl1, ENSMUST00000036060.13, 0000100001000001000001
Neurod2, ENSMUST00000041685.7, 0000100000000100100100
Fn1, ENSMUST00000055226.13, 0010100000000101000000
Lgr5, ENSMUST00000020350.15, 1001010000000000000010
Slc18a2, ENSMUST00000026084.5, 0010000000000100100001
Bmp6, ENSMUST00000171970.3, 0001000000001000100100
Abcc9, ENSMUST00000111771.8, 0000000100000000010110
Penk, ENSMUST00000070375.8, 0001000100100000100000
Gabbr2, ENSMUST00000107749.4, 0000001001000100000001
Adcy7, ENSMUST00000171456.9, 0001000010000001010000
Spon1, ENSMUST00000046687.16, 0001010000001000010000
Fbln2, ENSMUST00000041544.8, 0001100000011000000000
Dnah11, ENSMUST00000084806.7, 0000100001000010000010
Tns1, ENSMUST00000169786.8, 0001000010000000101000
Sema5b, ENSMUST00000120756.8, 0000100000010100000001
Ctss, ENSMUST00000015667.9, 0000000100000010010001
Pax6, ENSMUST00000111088.9, 1000000000001000001001
Rgs5, ENSMUST00000027997.9, 0000010001100010000000
