version, 1.0
codebook_name, MF8_4T1inVitro_16bit
bit_names, Stv_29, Stv_30, Stv_31, Stv_32, Stv_33, Stv_35, Stv_36, Stv_37, Stv_39, Stv_40, Stv_42, Stv_44, Stv_45, Stv_46, Stv_48, Stv_50
name, id, barcode
Ifi44, ENSMUST00000029671.9, 0010000100010010
Arhgap18, ENSMUST00000039557.9, 0011110000000000
Zfp945, ENSMUST00000160457.10, 0000100110010000
Acod1, ENSMUST00000022722.7, 0101000001010000
Msh2, ENSMUST00000024967.14, 0010010000011000
Fos, ENSMUST00000021674.7, 0000011010010000
H2bc3, ENSMUST00000099703.5, 0010001000100010
Cd109, ENSMUST00000093812.5, 0000001111000000
Alg9, ENSMUST00000034561.11, 1001100100000000
Erc2, ENSMUST00000210135.2, 1100000000110000
Dram1, ENSMUST00000020249.2, 1100000011000000
Fbxl20, ENSMUST00000103143.10, 0001100000100100
Psmb8, ENSMUST00000025196.9, 0000101000000101
Wnt7b, ENSMUST00000109424.4, 1001000000000110
Gas2l3, ENSMUST00000105298.3, 0100000100010100
Fas, ENSMUST00000025691.13, 0000000010101010
Ifit1, ENSMUST00000102824.4, 0000110000000011
Klf8, ENSMUST00000112574.9, 1000010010000100
Cdca2, ENSMUST00000163100.8, 0001100010000001
Mtss2, ENSMUST00000052457.15, 0101000010100000
Kctd16, ENSMUST00000236889.2, 0001100000011000
Ptcd1, ENSMUST00000031628.10, 0100010000010001
C3, ENSMUST00000024988.15, 0011001100000000
Olfm1, ENSMUST00000100244.10, 0100001000011000
Serpinb9b, ENSMUST00000006392.3, 0000000010011001
Sema6a, ENSMUST00000019791.14, 1010101000000000
Cdc6, ENSMUST00000092706.13, 1010010100000000
Ccl20, ENSMUST00000027351.13, 0010010000100100
Hbp1, ENSMUST00000172314.9, 0100001001000010
Tns4, ENSMUST00000017751.3, 0100100001001000
Tlr4, ENSMUST00000048096.12, 0000100101100000
Klhl24, ENSMUST00000023509.5, 0101000000000101
Twist1, ENSMUST00000049089.7, 1100110000000000
Lilrb4a, ENSMUST00000217705.2, 0100010001000100
Me3, ENSMUST00000032856.13, 0000000001101001
Hdac9, ENSMUST00000209902.2, 0100100000010010
Fbxo36, ENSMUST00000097672.4, 1000010000010010
