channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,Stv_29,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,1,748,[ 0  4  8 12 16 20 24 28 32 36 40],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,42,477
bit2,Stv_30,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,1,637,[ 1  5  9 13 17 21 25 29 33 37 41],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,42,477
bit3,Stv_31,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,2,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,32,477
bit4,Stv_32,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,2,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,32,477
bit5,Stv_33,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,3,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,32,477
bit6,Stv_35,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,3,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,32,477
bit7,Stv_36,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,4,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,32,477
bit8,Stv_37,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,4,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,32,477
bit9,Stv_39,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),9,5,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,32,477
bit10,Stv_40,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),10,5,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,32,477
bit11,Stv_42,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),11,6,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,32,477
bit12,Stv_44,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),12,6,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,32,477
bit13,Stv_45,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),13,7,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,32,477
bit14,Stv_46,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),14,7,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,32,477
bit15,Stv_48,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),15,8,748,[ 0  3  6  9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,32,477
bit16,Stv_50,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),16,8,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,32,477
PolyT,polyt,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),17,9,637,[ 1  4  7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),9,32,477
DAPI,dapi,Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),18,1,405,[ 3  7 11 15 19 23 27 31 35 39 43],[-6.6 -5.4 -4.2 -3.  -1.8 -0.6  0.6  1.8  3.   4.2  5.4],Conv_zscan,H([0-9]+)M(?P<imagingRound>[0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,42,477
