channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,Stv_29,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,0,748,[0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),0,[2 6 10 14 18 22 26 30 34 38 42 46 50 54 58 62 66 70 74 78],477
bit2,Stv_30,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,0,637,[1 5 9 13 17 21 25 29 33 37 41 45 49 53 57 61 65 69 73 77],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),0,[2 6 10 14 18 22 26 30 34 38 42 46 50 54 58 62 66 70 74 78],477
bit3,Stv_31,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,1,748,[0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit4,Stv_32,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,1,637,[1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit5,Stv_33,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,2,748,[0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit6,Stv_35,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,2,637,[1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit7,Stv_36,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,3,748,[0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit8,Stv_37,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,3,637,[1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit9,Stv_39,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),9,4,748,[0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
bit10,Stv_40,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),10,4,637,[1 4 7 10 13 16 19 22 25 28 31 34 37 40 43 46 49 52 55 58],[-12.0 -10.8 -9.6 -8.4 -7.2 -6.0 -4.8 -3.6 -2.4 -1.2 0.0 1.2 2.4 3.6 4.8 6.0 7.2 8.4 9.6 10.8],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,[2 5 8 11 14 17 20 23 26 29 32 35 38 41 44 47 50 53 56 59],477
