channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,b1-RS0015,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,0,748,[0 4 8 12 16 20 24 28 32 36 40],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),0,[2 6 10 14 18 22 26 30 34 38 42],477
bit2,b2-RS0083,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,0,637,[1 5 9 13 17 21 25 29 33 37 41],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),0,[2 6 10 14 18 22 26 30 34 38 42],477
bit3,b3-RS0095,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,1,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,[2 5 8 11 14 17 20 23 26 29 32],477
bit4,b4-RS0109,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,1,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),1,[2 5 8 11 14 17 20 23 26 29 32],477
bit5,b5-RS0175,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,2,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,[2 5 8 11 14 17 20 23 26 29 32],477
bit6,b6-RS0237,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),6,2,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),2,[2 5 8 11 14 17 20 23 26 29 32],477
bit7,b7-RS0247,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),7,3,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,[2 5 8 11 14 17 20 23 26 29 32],477
bit8,b10-RS0332,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),8,3,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),3,[2 5 8 11 14 17 20 23 26 29 32],477
bit9,b11-RS0343,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),9,4,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,[2 5 8 11 14 17 20 23 26 29 32],477
bit10,b12-RS0384,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),10,4,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),4,[2 5 8 11 14 17 20 23 26 29 32],477
bit11,b13-RS0406,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),11,5,748,[0 3 6 9 12 15 18 21 24 27 30],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,[2 5 8 11 14 17 20 23 26 29 32],477
bit12,b14-RS0451,Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),12,5,637,[1 4 7 10 13 16 19 22 25 28 31],[-6.6 -5.4 -4.2 -3.0 -1.8 -0.6 0.6 1.8 3.0 4.2 5.4],Conv_zscan,H(?P<imagingRound>[0-9]+)M([0-9]+)/(?P<imageType>[a-zA-z_]+)_(?P<fov>[0-9]+),5,[2 5 8 11 14 17 20 23 26 29 32],477
