channelName,readoutName,imageType,imageRegExp,bitNumber,imagingRound,color,frame,zPos,fiducialImageType,fiducialRegExp,fiducialImagingRound,fiducialFrame,fiducialColor
bit1,Stv_29,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,1,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit2,Stv_30,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,1,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),1,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit3,Stv_31,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,2,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit4,Stv_32,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,2,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),2,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit5,Stv_33,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,3,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit6,Stv_35,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,3,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),3,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit7,Stv_36,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,4,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit8,Stv_37,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),8,4,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),4,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit9,Stv_39,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),9,5,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit10,Stv_40,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),10,5,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),5,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit11,Stv_42,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),11,6,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit12,Stv_44,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),12,6,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),6,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit13,Stv_45,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),13,7,560,[1 4 7 10 13 16 19 22 25 28 31 34 37],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
bit14,Stv_46,CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),14,7,647,[0 3 6 9 12 15 18 21 24 27 30 33 36],[0.0 0.5 1.0 1.5 2.0 2.5 3.0 3.5 4.0 4.5 5.0 5.5 6.0],CY5_DSRED_GFP,(?P<imageType>[\w|-]+)_(?P<imagingRound>[0-9]+)_(?P<fov>[0-9]+),7,[2 5 8 11 14 17 20 23 26 29 32 35 38],515
